idx,k_n,k_c,sN,sA,sAA,bP,bQ,bA,score
401,5,40,3.2,0.1,6,2.5,0.2,2.0,0.0
402,5,40,3.2,0.1,6,2.5,0.2,2.1,0.0
403,5,40,3.2,0.1,6,2.5,0.2,2.2,0.0
404,5,40,3.2,0.1,6,2.5,0.2,2.3,0.0
405,5,40,3.2,0.1,6,2.5,0.0,2.0,0.0
406,5,40,3.2,0.1,6,2.5,0.0,2.1,0.000327721875
407,5,40,3.2,0.1,6,2.5,0.0,2.2,0.00033639062499999994
408,5,40,3.2,0.1,6,2.5,0.0,2.3,0.0
409,5,40,3.2,0.1,6,3.0,0.2,2.0,0.0
410,5,40,3.2,0.1,6,3.0,0.2,2.1,0.0
411,5,40,3.2,0.1,6,3.0,0.2,2.2,0.0
412,5,40,3.2,0.1,6,3.0,0.2,2.3,0.0
413,5,40,3.2,0.1,6,3.0,0.0,2.0,0.0
414,5,40,3.2,0.1,6,3.0,0.0,2.1,0.0005316156249999999
415,5,40,3.2,0.1,6,3.0,0.0,2.2,0.0005557687499999999
416,5,40,3.2,0.1,6,3.0,0.0,2.3,0.0002661187499999999
417,5,40,3.2,0.1,7,2.5,0.2,2.0,0.0003185656249999998
418,5,40,3.2,0.1,7,2.5,0.2,2.1,0.000310725
419,5,40,3.2,0.1,7,2.5,0.2,2.2,0.0003210124999999999
420,5,40,3.2,0.1,7,2.5,0.2,2.3,0.0
421,5,40,3.2,0.1,7,2.5,0.0,2.0,0.0002597218749999999
422,5,40,3.2,0.1,7,2.5,0.0,2.1,0.0
423,5,40,3.2,0.1,7,2.5,0.0,2.2,0.0
424,5,40,3.2,0.1,7,2.5,0.0,2.3,0.0
425,5,40,3.2,0.1,7,3.0,0.2,2.0,0.0003008062499999999
426,5,40,3.2,0.1,7,3.0,0.2,2.1,0.0003282062499999999
427,5,40,3.2,0.1,7,3.0,0.2,2.2,0.000337759375
428,5,40,3.2,0.1,7,3.0,0.2,2.3,0.00025647187499999995
429,5,40,3.2,0.1,7,3.0,0.0,2.0,0.00026069375
430,5,40,3.2,0.1,7,3.0,0.0,2.1,0.00038335312499999984
431,5,40,3.2,0.1,7,3.0,0.0,2.2,0.0
432,5,40,3.2,0.1,7,3.0,0.0,2.3,0.0
